Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Stop_Loss_Price,Profit_Target_Price,Gross_Return,Net_Return,Net_PnL_NGN,Days_Held,Exit_Reason
Secure Electronic Tech,2018-09-17,2019-05-14,0.2,0.2,0.194,0.22,0.0,-3.06,-3058.0,239,Time Stop
Linkassure,2018-09-19,2018-09-27,0.26,0.286,0.2522,0.286,10.0,6.77,6774.5,8,Profit Target
McNichols,2018-10-12,2018-10-22,0.27,0.2619,0.2619,0.297,-3.0,-6.01,-6007.75,10,Stop Loss
Cutix,2018-10-15,2018-10-17,1.85,2.035,1.7945,2.035,10.0,6.77,6774.5,2,Profit Target
Japaul Gold Ventures,2018-10-17,2018-10-23,0.21,0.2037,0.2037,0.231,-3.0,-6.01,-6007.75,6,Stop Loss
McNichols,2018-10-22,2018-10-23,0.27,0.2619,0.2619,0.297,-3.0,-6.01,-6007.75,1,Stop Loss
Japaul Gold Ventures,2018-10-22,2018-10-23,0.21,0.2037,0.2037,0.231,-3.0,-6.01,-6007.75,1,Stop Loss
McNichols,2018-10-23,2018-10-24,0.25,0.2425,0.2425,0.275,-3.0,-6.01,-6007.75,1,Stop Loss
Neimeth,2018-10-23,2018-11-01,0.49,0.539,0.4753,0.539,10.0,6.77,6774.5,9,Profit Target
McNichols,2018-10-24,2018-10-25,0.23,0.2231,0.2231,0.253,-3.0,-6.01,-6007.75,1,Stop Loss
Neimeth,2018-10-24,2018-11-01,0.49,0.539,0.4753,0.539,10.0,6.77,6774.5,8,Profit Target
Lafarge Africa,2018-10-24,2018-10-30,18.16,17.6152,17.6152,19.976,-3.0,-6.01,-6007.75,6,Stop Loss
McNichols,2018-10-25,2018-10-26,0.2,0.194,0.194,0.22,-3.0,-6.01,-6007.75,1,Stop Loss
McNichols,2018-10-26,2018-11-27,0.19,0.209,0.1843,0.209,10.0,6.77,6774.5,32,Profit Target
Lafarge Africa,2018-10-26,2018-10-30,18.06,17.5182,17.5182,19.866,-3.0,-6.01,-6007.75,4,Stop Loss
Lafarge Africa,2018-10-29,2018-10-30,17.72,17.1884,17.1884,19.492,-3.0,-6.01,-6007.75,1,Stop Loss
Neimeth,2018-10-29,2018-11-01,0.49,0.539,0.4753,0.539,10.0,6.77,6774.5,3,Profit Target
First HoldCo,2018-10-31,2018-11-01,8.25,8.0025,8.0025,9.075,-3.0,-6.01,-6007.75,1,Stop Loss
First HoldCo,2018-11-01,2018-11-02,8.0,7.76,7.76,8.8,-3.0,-6.01,-6007.75,1,Stop Loss
Dangote Sugar,2018-11-02,2018-12-03,12.7,13.05,12.319,13.97,2.76,-0.35,-348.26,31,Time Stop
First HoldCo,2018-11-05,2018-11-07,7.65,7.4205,7.4205,8.415,-3.0,-6.01,-6007.75,2,Stop Loss
Dangote Sugar,2018-11-05,2018-11-13,13.0,12.61,12.61,14.3,-3.0,-6.01,-6007.75,8,Stop Loss
Dangote Sugar,2018-11-06,2018-11-14,12.9,12.513,12.513,14.19,-3.0,-6.01,-6007.75,8,Stop Loss
Mutual Benefits Assurance,2018-11-08,2018-11-09,0.25,0.2425,0.2425,0.275,-3.0,-6.01,-6007.75,1,Stop Loss
Aiico,2018-11-08,2018-12-05,0.4,0.44,0.388,0.44,10.0,6.77,6774.5,27,Profit Target
Lafarge Africa,2018-11-08,2018-11-09,15.25,14.7925,14.7925,16.775,-3.0,-6.01,-6007.75,1,Stop Loss
Aiico,2018-11-12,2018-12-06,0.41,0.451,0.3977,0.451,10.0,6.77,6774.5,24,Profit Target
Lafarge Africa,2018-11-26,2018-11-27,13.6,13.192,13.192,14.96,-3.0,-6.01,-6007.75,1,Stop Loss
Lafarge Africa,2018-11-27,2018-11-29,13.35,12.9495,12.9495,14.685,-3.0,-6.01,-6007.75,2,Stop Loss
Lafarge Africa,2018-11-28,2018-12-17,12.62,12.2414,12.2414,13.882,-3.0,-6.01,-6007.75,19,Stop Loss
Lafarge Africa,2018-11-29,2018-12-04,12.96,12.5712,12.5712,14.256,-3.0,-6.01,-6007.75,5,Stop Loss
Lafarge Africa,2018-11-30,2018-12-17,12.67,12.2899,12.2899,13.937,-3.0,-6.01,-6007.75,17,Stop Loss
Abctrans,2018-12-03,2018-12-11,0.27,0.2619,0.2619,0.297,-3.0,-6.01,-6007.75,8,Stop Loss
Abctrans,2018-12-05,2018-12-11,0.27,0.2619,0.2619,0.297,-3.0,-6.01,-6007.75,6,Stop Loss
Linkassure,2018-12-05,2018-12-27,0.24,0.264,0.2328,0.264,10.0,6.77,6774.5,22,Profit Target
Mutual Benefits Assurance,2018-12-11,2018-12-12,0.21,0.2037,0.2037,0.231,-3.0,-6.01,-6007.75,1,Stop Loss
Mutual Benefits Assurance,2018-12-12,2019-01-14,0.2,0.21,0.194,0.22,5.0,1.86,1858.25,33,Time Stop
Mutual Benefits Assurance,2018-12-14,2019-01-16,0.2,0.21,0.194,0.22,5.0,1.86,1858.25,33,Time Stop
First HoldCo,2019-01-09,2019-02-06,7.15,7.45,6.9355,7.865,4.2,1.07,1067.52,28,Time Stop
Linkassure,2019-01-15,2019-01-18,0.26,0.2522,0.2522,0.286,-3.0,-6.01,-6007.75,3,Stop Loss
Neimeth,2019-01-16,2019-01-18,0.58,0.638,0.5626,0.638,10.0,6.77,6774.5,2,Profit Target
Neimeth,2019-01-17,2019-01-18,0.55,0.605,0.5335,0.605,10.0,6.77,6774.5,1,Profit Target
Linkassure,2019-01-21,2019-01-22,0.24,0.264,0.2328,0.264,10.0,6.77,6774.5,1,Profit Target
McNichols,2019-01-28,2019-01-29,0.18,0.1746,0.1746,0.198,-3.0,-6.01,-6007.75,1,Stop Loss
McNichols,2019-01-29,2019-01-30,0.16,0.1552,0.1552,0.176,-3.0,-6.01,-6007.75,1,Stop Loss
McNichols,2019-01-30,2019-02-04,0.15,0.165,0.1455,0.165,10.0,6.77,6774.5,5,Profit Target
McNichols,2019-01-31,2019-02-01,0.14,0.154,0.1358,0.154,10.0,6.77,6774.5,1,Profit Target
Neimeth,2019-02-25,2019-03-04,0.61,0.671,0.5917,0.671,10.0,6.77,6774.5,7,Profit Target
Mutual Benefits Assurance,2019-03-06,2019-03-07,0.25,0.2425,0.2425,0.275,-3.0,-6.01,-6007.75,1,Stop Loss
Japaul Gold Ventures,2019-03-06,2019-03-11,0.21,0.2037,0.2037,0.231,-3.0,-6.01,-6007.75,5,Stop Loss
Japaul Gold Ventures,2019-03-07,2019-03-11,0.21,0.2037,0.2037,0.231,-3.0,-6.01,-6007.75,4,Stop Loss
Mutual Benefits Assurance,2019-03-08,2019-03-20,0.23,0.2231,0.2231,0.253,-3.0,-6.01,-6007.75,12,Stop Loss
Mutual Benefits Assurance,2019-03-11,2019-03-20,0.23,0.2231,0.2231,0.253,-3.0,-6.01,-6007.75,9,Stop Loss
International Breweries,2019-03-15,2019-04-12,24.05,23.5,23.3285,26.455,-2.29,-5.31,-5306.6,28,Time Stop
Linkassure,2019-03-19,2019-04-03,0.24,0.2328,0.2328,0.264,-3.0,-6.01,-6007.75,15,Stop Loss
Ikeja,2019-03-19,2019-03-20,1.87,1.8139,1.8139,2.057,-3.0,-6.01,-6007.75,1,Stop Loss
Aiico,2019-03-21,2019-03-22,0.44,0.484,0.4268,0.484,10.0,6.77,6774.5,1,Profit Target
Cutix,2019-03-21,2019-04-10,1.85,1.7945,1.7945,2.035,-3.0,-6.01,-6007.75,20,Stop Loss
Wema Bank,2019-04-02,2019-05-03,0.7,0.74,0.679,0.77,5.71,2.56,2560.57,31,Time Stop
Mutual Benefits Assurance,2019-04-02,2019-04-25,0.2,0.22,0.194,0.22,10.0,6.77,6774.5,23,Profit Target
Mutual Benefits Assurance,2019-04-03,2019-04-25,0.2,0.22,0.194,0.22,10.0,6.77,6774.5,22,Profit Target
Nigerian Breweries,2019-04-03,2019-04-15,45.52,50.072,44.1544,50.072,10.0,6.77,6774.5,12,Profit Target
Cutix,2019-04-04,2019-04-10,1.8,1.746,1.746,1.98,-3.0,-6.01,-6007.75,6,Stop Loss
Mutual Benefits Assurance,2019-04-04,2019-04-25,0.2,0.22,0.194,0.22,10.0,6.77,6774.5,21,Profit Target
UBA,2019-04-04,2019-04-08,6.3,6.111,6.111,6.93,-3.0,-6.01,-6007.75,4,Stop Loss
Nigerian Breweries,2019-04-04,2019-05-03,48.0,52.8,46.56,52.8,10.0,6.77,6774.5,29,Profit Target
Cutix,2019-04-05,2019-04-10,1.8,1.746,1.746,1.98,-3.0,-6.01,-6007.75,5,Stop Loss
Neimeth,2019-04-08,2019-04-24,0.51,0.561,0.4947,0.561,10.0,6.77,6774.5,16,Profit Target
First HoldCo,2019-04-08,2019-05-09,7.35,7.3,7.1295,8.085,-0.68,-3.73,-3726.88,31,Time Stop
McNichols,2019-04-09,2019-04-26,0.26,0.2522,0.2522,0.286,-3.0,-6.01,-6007.75,17,Stop Loss
Cutix,2019-04-12,2019-04-17,1.6,1.552,1.552,1.76,-3.0,-6.01,-6007.75,5,Stop Loss
Cutix,2019-04-15,2019-04-16,1.61,1.5617,1.5617,1.771,-3.0,-6.01,-6007.75,1,Stop Loss
Abctrans,2019-04-16,2019-04-17,0.36,0.3492,0.3492,0.396,-3.0,-6.01,-6007.75,1,Stop Loss
Cutix,2019-04-16,2019-04-25,1.56,1.716,1.5132,1.716,10.0,6.77,6774.5,9,Profit Target
United Capital,2019-04-23,2019-05-13,2.48,2.4056,2.4056,2.728,-3.0,-6.01,-6007.75,20,Stop Loss
International Breweries,2019-04-25,2019-04-26,21.0,20.37,20.37,23.1,-3.0,-6.01,-6007.75,1,Stop Loss
International Breweries,2019-04-29,2019-05-28,20.0,20.0,19.4,22.0,0.0,-3.06,-3058.0,29,Time Stop
Ikeja,2019-05-08,2019-06-11,1.45,1.45,1.4065,1.595,0.0,-3.06,-3058.0,34,Time Stop
Neimeth,2019-05-10,2019-05-15,0.55,0.605,0.5335,0.605,10.0,6.77,6774.5,5,Profit Target
Neimeth,2019-05-13,2019-05-14,0.5,0.55,0.485,0.55,10.0,6.77,6774.5,1,Profit Target
Linkassure,2019-05-13,2019-05-20,0.19,0.209,0.1843,0.209,10.0,6.77,6774.5,7,Profit Target
Neimeth,2019-05-14,2019-05-15,0.55,0.605,0.5335,0.605,10.0,6.77,6774.5,1,Profit Target
Abctrans,2019-05-14,2019-05-16,0.25,0.275,0.2425,0.275,10.0,6.77,6774.5,2,Profit Target
United Capital,2019-05-14,2019-05-23,2.32,2.2504,2.2504,2.552,-3.0,-6.01,-6007.75,9,Stop Loss
Linkassure,2019-05-15,2019-05-20,0.19,0.209,0.1843,0.209,10.0,6.77,6774.5,5,Profit Target
Fcmb,2019-05-17,2019-05-21,1.7,1.649,1.649,1.87,-3.0,-6.01,-6007.75,4,Stop Loss
United Capital,2019-05-24,2019-06-14,2.1,2.31,2.037,2.31,10.0,6.77,6774.5,21,Profit Target
Abctrans,2019-05-24,2019-06-11,0.26,0.286,0.2522,0.286,10.0,6.77,6774.5,18,Profit Target
Neimeth,2019-05-27,2019-06-28,0.51,0.52,0.4947,0.561,1.96,-1.13,-1130.06,32,Time Stop
Nahco,2019-06-11,2019-06-17,2.231,2.1641,2.1641,2.4541,-3.0,-6.01,-6007.75,6,Stop Loss
Nahco,2019-06-18,2019-06-20,2.042,2.2462,1.9807,2.2462,10.0,6.77,6774.5,2,Profit Target
Cutix,2019-06-18,2019-06-19,1.4,1.358,1.358,1.54,-3.0,-6.01,-6007.75,1,Stop Loss
International Breweries,2019-06-19,2019-07-17,16.7,17.0,16.199,18.37,1.8,-1.29,-1291.68,28,Time Stop
Ikeja,2019-06-25,2019-07-10,1.3,1.43,1.261,1.43,10.0,6.77,6774.5,15,Profit Target
Chams,2019-06-27,2019-07-01,0.27,0.297,0.2619,0.297,10.0,6.77,6774.5,4,Profit Target
Mutual Benefits Assurance,2019-07-09,2019-07-31,0.2,0.22,0.194,0.22,10.0,6.77,6774.5,22,Profit Target
Nahco,2019-07-18,2019-08-02,1.714,1.8854,1.6626,1.8854,10.0,6.77,6774.5,15,Profit Target
McNichols,2019-07-23,2019-10-07,0.2,0.22,0.194,0.22,10.0,6.77,6774.5,76,Time Stop
International Breweries,2019-07-24,2019-07-26,13.8,13.386,13.386,15.18,-3.0,-6.01,-6007.75,2,Stop Loss
Linkassure,2019-07-24,2019-07-25,0.23,0.2231,0.2231,0.253,-3.0,-6.01,-6007.75,1,Stop Loss
Linkassure,2019-07-25,2019-08-23,0.22,0.2134,0.2134,0.242,-3.0,-6.01,-6007.75,29,Stop Loss
International Breweries,2019-07-29,2019-08-01,12.5,12.125,12.125,13.75,-3.0,-6.01,-6007.75,3,Stop Loss
McNichols,2019-07-30,2019-10-24,0.22,0.2134,0.2134,0.242,-3.0,-6.01,-6007.75,86,Stop Loss
Linkassure,2019-07-30,2019-08-23,0.22,0.2134,0.2134,0.242,-3.0,-6.01,-6007.75,24,Stop Loss
First HoldCo,2019-08-09,2019-08-14,5.0,4.85,4.85,5.5,-3.0,-6.01,-6007.75,5,Stop Loss
Zenith Bank,2019-08-14,2019-08-22,16.35,17.985,15.8595,17.985,10.0,6.77,6774.5,8,Profit Target
Zenith Bank,2019-08-15,2019-08-22,16.2,17.82,15.714,17.82,10.0,6.77,6774.5,7,Profit Target
Chams,2019-08-21,2019-08-23,0.23,0.253,0.2231,0.253,10.0,6.77,6774.5,2,Profit Target
Dangote Sugar,2019-09-03,2019-09-13,8.5,9.35,8.245,9.35,10.0,6.77,6774.5,10,Profit Target
Chams,2019-09-05,2019-09-11,0.25,0.2425,0.2425,0.275,-3.0,-6.01,-6007.75,6,Stop Loss
Ikeja,2019-09-06,2019-10-10,1.17,1.18,1.1349,1.287,0.85,-2.22,-2217.62,34,Time Stop
Chams,2019-09-17,2019-09-24,0.24,0.2328,0.2328,0.264,-3.0,-6.01,-6007.75,7,Stop Loss
Chams,2019-09-25,2019-10-07,0.23,0.253,0.2231,0.253,10.0,6.77,6774.5,12,Profit Target
Neimeth,2019-10-11,2019-10-14,0.42,0.4074,0.4074,0.462,-3.0,-6.01,-6007.75,3,Stop Loss
Coronation Insurance,2019-10-11,2019-11-08,0.32,0.32,0.3104,0.352,0.0,-3.06,-3058.0,28,Time Stop
Cutix,2019-10-21,2019-11-19,0.655,0.68,0.6354,0.7205,3.82,0.69,694.86,29,Time Stop
Cutix,2019-10-23,2019-11-08,0.72,0.6984,0.6984,0.792,-3.0,-6.01,-6007.75,16,Stop Loss
Aiico,2019-10-30,2019-11-14,0.2,0.22,0.194,0.22,10.0,6.77,6774.5,15,Profit Target
Aiico,2019-10-31,2019-11-08,0.19,0.209,0.1843,0.209,10.0,6.77,6774.5,8,Profit Target
Aiico,2019-11-01,2019-11-14,0.2,0.22,0.194,0.22,10.0,6.77,6774.5,13,Profit Target
Aiico,2019-11-04,2019-11-14,0.2,0.22,0.194,0.22,10.0,6.77,6774.5,10,Profit Target
International Breweries,2019-11-12,2019-12-10,9.4,10.1,9.118,10.34,7.45,4.26,4264.07,28,Time Stop
McNichols,2019-11-13,2019-11-22,0.19,0.209,0.1843,0.209,10.0,6.77,6774.5,9,Profit Target
Ikeja,2019-11-13,2019-11-18,0.88,0.968,0.8536,0.968,10.0,6.77,6774.5,5,Profit Target
Ikeja,2019-11-14,2019-11-21,0.96,1.056,0.9312,1.056,10.0,6.77,6774.5,7,Profit Target
Ikeja,2019-11-15,2019-11-18,0.87,0.957,0.8439,0.957,10.0,6.77,6774.5,3,Profit Target
Ikeja,2019-11-18,2019-11-21,0.95,1.045,0.9215,1.045,10.0,6.77,6774.5,3,Profit Target
Daarcomm,2019-12-11,2020-02-06,0.36,0.3492,0.3492,0.396,-3.0,-6.01,-6007.75,57,Stop Loss
Chams,2019-12-16,2019-12-17,0.3,0.33,0.291,0.33,10.0,6.77,6774.5,1,Profit Target
Nahco,2019-12-23,2019-12-24,1.546,1.7006,1.4996,1.7006,10.0,6.77,6774.5,1,Profit Target
Dangote Sugar,2019-12-30,2020-01-28,13.8,13.8,13.386,15.18,0.0,-3.06,-3058.0,29,Time Stop
Abctrans,2020-01-29,2020-01-30,0.37,0.3589,0.3589,0.407,-3.0,-6.01,-6007.75,1,Stop Loss
Abctrans,2020-01-31,2020-02-17,0.34,0.3298,0.3298,0.374,-3.0,-6.01,-6007.75,17,Stop Loss
Abctrans,2020-02-03,2020-02-17,0.34,0.3298,0.3298,0.374,-3.0,-6.01,-6007.75,14,Stop Loss
First HoldCo,2020-02-05,2020-02-24,5.9,5.723,5.723,6.49,-3.0,-6.01,-6007.75,19,Stop Loss
First HoldCo,2020-02-06,2020-02-24,5.75,5.5775,5.5775,6.325,-3.0,-6.01,-6007.75,18,Stop Loss
First HoldCo,2020-02-07,2020-02-18,6.0,5.82,5.82,6.6,-3.0,-6.01,-6007.75,11,Stop Loss
Chams,2020-02-07,2020-02-10,0.29,0.319,0.2813,0.319,10.0,6.77,6774.5,3,Profit Target
International Breweries,2020-02-12,2020-02-17,7.75,7.5175,7.5175,8.525,-3.0,-6.01,-6007.75,5,Stop Loss
Linkassure,2020-02-12,2020-02-14,0.22,0.2134,0.2134,0.242,-3.0,-6.01,-6007.75,2,Stop Loss
Linkassure,2020-02-14,2020-02-17,0.22,0.2134,0.2134,0.242,-3.0,-6.01,-6007.75,3,Stop Loss
Coronation Insurance,2020-02-18,2020-02-20,0.3,0.33,0.291,0.33,10.0,6.77,6774.5,2,Profit Target
Japaul Gold Ventures,2020-02-20,2020-03-20,0.2,0.2,0.194,0.22,0.0,-3.06,-3058.0,29,Time Stop
Linkassure,2020-02-21,2020-02-25,0.19,0.1843,0.1843,0.209,-3.0,-6.01,-6007.75,4,Stop Loss
UBA,2020-02-25,2020-03-02,6.85,6.6445,6.6445,7.535,-3.0,-6.01,-6007.75,6,Stop Loss
First HoldCo,2020-02-25,2020-02-27,5.3,5.141,5.141,5.83,-3.0,-6.01,-6007.75,2,Stop Loss
Wema Bank,2020-02-25,2020-02-26,0.59,0.5723,0.5723,0.649,-3.0,-6.01,-6007.75,1,Stop Loss
Wema Bank,2020-02-27,2020-02-28,0.56,0.5432,0.5432,0.616,-3.0,-6.01,-6007.75,1,Stop Loss
Nigerian Breweries,2020-02-28,2020-03-02,36.0,34.92,34.92,39.6,-3.0,-6.01,-6007.75,3,Stop Loss
Chams,2020-03-02,2020-03-03,0.24,0.2328,0.2328,0.264,-3.0,-6.01,-6007.75,1,Stop Loss
Guaranty Trust Holding,2020-03-02,2020-03-09,23.8,23.086,23.086,26.18,-3.0,-6.01,-6007.75,7,Stop Loss
Abctrans,2020-03-02,2020-03-03,0.3,0.291,0.291,0.33,-3.0,-6.01,-6007.75,1,Stop Loss
Wema Bank,2020-03-02,2020-03-04,0.54,0.594,0.5238,0.594,10.0,6.77,6774.5,2,Profit Target
Chams,2020-03-03,2020-03-04,0.22,0.2134,0.2134,0.242,-3.0,-6.01,-6007.75,1,Stop Loss
Nigerian Breweries,2020-03-03,2020-03-09,32.4,31.428,31.428,35.64,-3.0,-6.01,-6007.75,6,Stop Loss
Guaranty Trust Holding,2020-03-03,2020-03-10,22.7,22.019,22.019,24.97,-3.0,-6.01,-6007.75,7,Stop Loss
Nahco,2020-03-03,2020-03-09,1.714,1.6626,1.6626,1.8854,-3.0,-6.01,-6007.75,6,Stop Loss
Chams,2020-03-04,2020-03-06,0.21,0.231,0.2037,0.231,10.0,6.77,6774.5,2,Profit Target
Abctrans,2020-03-04,2020-03-06,0.27,0.297,0.2619,0.297,10.0,6.77,6774.5,2,Profit Target
Nigerian Breweries,2020-03-04,2020-03-09,32.4,31.428,31.428,35.64,-3.0,-6.01,-6007.75,5,Stop Loss
Chams,2020-03-05,2020-03-06,0.21,0.231,0.2037,0.231,10.0,6.77,6774.5,1,Profit Target
Lafarge Africa,2020-03-05,2020-03-10,13.9,13.483,13.483,15.29,-3.0,-6.01,-6007.75,5,Stop Loss
Chams,2020-03-06,2020-03-10,0.22,0.2134,0.2134,0.242,-3.0,-6.01,-6007.75,4,Stop Loss
Lafarge Africa,2020-03-09,2020-03-10,13.65,13.2405,13.2405,15.015,-3.0,-6.01,-6007.75,1,Stop Loss
Neimeth,2020-03-10,2020-03-25,0.4,0.44,0.388,0.44,10.0,6.77,6774.5,15,Profit Target
First HoldCo,2020-03-11,2020-03-12,4.4,4.268,4.268,4.84,-3.0,-6.01,-6007.75,1,Stop Loss
Fcmb,2020-03-11,2020-03-16,1.51,1.4647,1.4647,1.661,-3.0,-6.01,-6007.75,5,Stop Loss
Nahco,2020-03-11,2020-03-16,1.48,1.628,1.4356,1.628,10.0,6.77,6774.5,5,Profit Target
Wema Bank,2020-03-11,2020-03-12,0.5,0.485,0.485,0.55,-3.0,-6.01,-6007.75,1,Stop Loss
Nigerian Breweries,2020-03-11,2020-03-12,26.48,25.6856,25.6856,29.128,-3.0,-6.01,-6007.75,1,Stop Loss
UBA,2020-03-11,2020-03-16,5.65,5.4805,5.4805,6.215,-3.0,-6.01,-6007.75,5,Stop Loss
Aiico,2020-03-11,2020-03-12,0.2,0.194,0.194,0.22,-3.0,-6.01,-6007.75,1,Stop Loss
First HoldCo,2020-03-12,2020-03-13,4.4,4.268,4.268,4.84,-3.0,-6.01,-6007.75,1,Stop Loss
Dangote Sugar,2020-03-12,2020-03-23,9.75,9.4575,9.4575,10.725,-3.0,-6.01,-6007.75,11,Stop Loss
Guaranty Trust Holding,2020-03-12,2020-03-13,19.9,19.303,19.303,21.89,-3.0,-6.01,-6007.75,1,Stop Loss
Lafarge Africa,2020-03-12,2020-03-13,11.85,11.4945,11.4945,13.035,-3.0,-6.01,-6007.75,1,Stop Loss
UBA,2020-03-12,2020-03-16,6.15,5.9655,5.9655,6.765,-3.0,-6.01,-6007.75,4,Stop Loss
Zenith Bank,2020-03-12,2020-03-16,10.85,11.935,10.5245,11.935,10.0,6.77,6774.5,4,Profit Target
Wema Bank,2020-03-12,2020-03-13,0.51,0.4947,0.4947,0.561,-3.0,-6.01,-6007.75,1,Stop Loss
Coronation Insurance,2020-03-13,2020-03-16,0.27,0.2619,0.2619,0.297,-3.0,-6.01,-6007.75,3,Stop Loss
UBA,2020-03-13,2020-03-16,5.6,5.432,5.432,6.16,-3.0,-6.01,-6007.75,3,Stop Loss
MTN Nigeria,2020-03-13,2020-03-18,93.2,102.52,90.404,102.52,10.0,6.77,6774.5,5,Profit Target
Wema Bank,2020-03-13,2020-03-16,0.46,0.4462,0.4462,0.506,-3.0,-6.01,-6007.75,3,Stop Loss
Zenith Bank,2020-03-13,2020-03-16,11.0,12.1,10.67,12.1,10.0,6.77,6774.5,3,Profit Target
Nigerian Breweries,2020-03-16,2020-03-23,22.4,21.728,21.728,24.64,-3.0,-6.01,-6007.75,7,Stop Loss
Chams,2020-03-16,2020-03-18,0.21,0.2037,0.2037,0.231,-3.0,-6.01,-6007.75,2,Stop Loss
Guaranty Trust Holding,2020-03-16,2020-03-19,19.0,18.43,18.43,20.9,-3.0,-6.01,-6007.75,3,Stop Loss
Lafarge Africa,2020-03-16,2020-03-19,10.65,10.3305,10.3305,11.715,-3.0,-6.01,-6007.75,3,Stop Loss
Cutix,2020-03-16,2020-03-25,0.58,0.638,0.5626,0.638,10.0,6.77,6774.5,9,Profit Target
Coronation Insurance,2020-03-16,2020-03-17,0.27,0.2619,0.2619,0.297,-3.0,-6.01,-6007.75,1,Stop Loss
First HoldCo,2020-03-16,2020-03-23,4.0,3.88,3.88,4.4,-3.0,-6.01,-6007.75,7,Stop Loss
Zenith Bank,2020-03-16,2020-03-17,12.0,13.2,11.64,13.2,10.0,6.77,6774.5,1,Profit Target
Ikeja,2020-03-16,2020-03-31,0.99,0.9603,0.9603,1.089,-3.0,-6.01,-6007.75,15,Stop Loss
Lafarge Africa,2020-03-17,2020-03-23,10.0,9.7,9.7,11.0,-3.0,-6.01,-6007.75,6,Stop Loss
First HoldCo,2020-03-17,2020-03-26,3.7,4.07,3.589,4.07,10.0,6.77,6774.5,9,Profit Target
Guaranty Trust Holding,2020-03-17,2020-03-19,19.0,18.43,18.43,20.9,-3.0,-6.01,-6007.75,2,Stop Loss
Lafarge Africa,2020-03-18,2020-03-19,11.0,10.67,10.67,12.1,-3.0,-6.01,-6007.75,1,Stop Loss
Coronation Insurance,2020-03-18,2020-03-19,0.23,0.2231,0.2231,0.253,-3.0,-6.01,-6007.75,1,Stop Loss
International Breweries,2020-03-18,2020-03-23,5.2,5.044,5.044,5.72,-3.0,-6.01,-6007.75,5,Stop Loss
Dangote Cement,2020-03-18,2020-04-01,124.0,120.28,120.28,136.4,-3.0,-6.01,-6007.75,14,Stop Loss
Dangote Cement,2020-03-19,2020-04-01,133.4,129.398,129.398,146.74,-3.0,-6.01,-6007.75,13,Stop Loss
International Breweries,2020-03-19,2020-03-23,5.25,5.0925,5.0925,5.775,-3.0,-6.01,-6007.75,4,Stop Loss
Coronation Insurance,2020-03-19,2020-03-20,0.22,0.2134,0.2134,0.242,-3.0,-6.01,-6007.75,1,Stop Loss
Coronation Insurance,2020-03-20,2020-03-25,0.21,0.231,0.2037,0.231,10.0,6.77,6774.5,5,Profit Target
International Breweries,2020-03-20,2020-03-23,5.5,5.335,5.335,6.05,-3.0,-6.01,-6007.75,3,Stop Loss
Nigerian Breweries,2020-03-30,2020-04-02,20.4,19.788,19.788,22.44,-3.0,-6.01,-6007.75,3,Stop Loss
Nigerian Breweries,2020-04-03,2020-04-15,18.0,19.8,17.46,19.8,10.0,6.77,6774.5,12,Profit Target
Nigerian Breweries,2020-04-07,2020-04-15,17.76,19.536,17.2272,19.536,10.0,6.77,6774.5,8,Profit Target
Nahco,2020-04-20,2020-04-30,1.553,1.7083,1.5064,1.7083,10.0,6.77,6774.5,10,Profit Target
First HoldCo,2020-04-22,2020-05-05,4.25,4.675,4.1225,4.675,10.0,6.77,6774.5,13,Profit Target
Wema Bank,2020-04-22,2020-04-24,0.55,0.605,0.5335,0.605,10.0,6.77,6774.5,2,Profit Target
Lafarge Africa,2020-04-23,2020-05-04,11.35,11.0095,11.0095,12.485,-3.0,-6.01,-6007.75,11,Stop Loss
Linkassure,2020-05-27,2020-06-08,0.18,0.198,0.1746,0.198,10.0,6.77,6774.5,12,Profit Target
Japaul Gold Ventures,2020-06-11,2020-06-24,0.23,0.253,0.2231,0.253,10.0,6.77,6774.5,13,Profit Target
Nahco,2020-06-22,2020-06-23,1.896,1.8391,1.8391,2.0856,-3.0,-6.01,-6007.75,1,Stop Loss
Nahco,2020-06-23,2020-06-30,1.823,1.7683,1.7683,2.0053,-3.0,-6.01,-6007.75,7,Stop Loss
Chams,2020-06-24,2020-06-25,0.21,0.231,0.2037,0.231,10.0,6.77,6774.5,1,Profit Target
Dangote Sugar,2020-06-24,2020-07-09,11.9,11.543,11.543,13.09,-3.0,-6.01,-6007.75,15,Stop Loss
Neimeth,2020-06-25,2020-06-26,1.14,1.254,1.1058,1.254,10.0,6.77,6774.5,1,Profit Target
Neimeth,2020-06-26,2020-06-29,1.25,1.375,1.2125,1.375,10.0,6.77,6774.5,3,Profit Target
Chams,2020-06-29,2020-06-30,0.22,0.2134,0.2134,0.242,-3.0,-6.01,-6007.75,1,Stop Loss
Japaul Gold Ventures,2020-07-01,2020-07-13,0.21,0.231,0.2037,0.231,10.0,6.77,6774.5,12,Profit Target
Linkassure,2020-07-07,2020-07-16,0.2,0.194,0.194,0.22,-3.0,-6.01,-6007.75,9,Stop Loss
Coronation Insurance,2020-07-16,2020-08-07,0.3,0.33,0.291,0.33,10.0,6.77,6774.5,22,Profit Target
Linkassure,2020-07-20,2020-07-21,0.19,0.209,0.1843,0.209,10.0,6.77,6774.5,1,Profit Target
Nigerian Breweries,2020-07-20,2020-08-11,24.0,26.4,23.28,26.4,10.0,6.77,6774.5,22,Profit Target
