Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Stop_Loss_Price,Profit_Target_Price,Gross_Return,Net_Return,Net_PnL_NGN,Days_Held,Exit_Reason
McNichols,2023-08-10,2023-08-28,0.63,0.6111,0.6111,0.693,-3.0,-6.01,-6007.75,18,Stop Loss
Dangote Sugar,2023-08-14,2023-08-22,33.0,36.3,32.01,36.3,10.0,6.77,6774.5,8,Profit Target
Tantalizers,2023-08-22,2023-08-23,0.36,0.3492,0.3492,0.396,-3.0,-6.01,-6007.75,1,Stop Loss
Mutual Benefits Assurance,2023-08-23,2023-08-24,0.37,0.407,0.3589,0.407,10.0,6.77,6774.5,1,Profit Target
Tantalizers,2023-08-23,2023-08-24,0.36,0.3492,0.3492,0.396,-3.0,-6.01,-6007.75,1,Stop Loss
Nigerian Breweries,2023-08-24,2023-09-21,34.38,36.41,33.3486,37.818,5.9,2.75,2747.69,28,Time Stop
Tantalizers,2023-08-24,2023-08-25,0.33,0.3201,0.3201,0.363,-3.0,-6.01,-6007.75,1,Stop Loss
Nigerian Breweries,2023-08-25,2023-09-22,35.03,36.41,33.9791,38.533,3.94,0.82,815.49,28,Time Stop
Cutix,2023-08-25,2023-08-28,1.2,1.164,1.164,1.32,-3.0,-6.01,-6007.75,3,Stop Loss
Tantalizers,2023-08-25,2023-08-28,0.32,0.3104,0.3104,0.352,-3.0,-6.01,-6007.75,3,Stop Loss
Nigerian Breweries,2023-08-28,2023-09-25,34.94,36.41,33.8918,38.434,4.21,1.08,1078.74,28,Time Stop
Cutix,2023-08-29,2023-09-08,1.1,1.21,1.067,1.21,10.0,6.77,6774.5,10,Profit Target
Daarcomm,2023-08-29,2023-09-15,0.27,0.2619,0.2619,0.297,-3.0,-6.01,-6007.75,17,Stop Loss
Tantalizers,2023-08-29,2023-08-30,0.29,0.2813,0.2813,0.319,-3.0,-6.01,-6007.75,1,Stop Loss
Daarcomm,2023-08-30,2023-09-15,0.27,0.2619,0.2619,0.297,-3.0,-6.01,-6007.75,16,Stop Loss
McNichols,2023-08-30,2023-09-06,0.56,0.616,0.5432,0.616,10.0,6.77,6774.5,7,Profit Target
Tantalizers,2023-08-31,2023-09-01,0.27,0.297,0.2619,0.297,10.0,6.77,6774.5,1,Profit Target
McNichols,2023-09-04,2023-09-06,0.56,0.616,0.5432,0.616,10.0,6.77,6774.5,2,Profit Target
Ikeja,2023-09-04,2023-09-05,3.0,2.91,2.91,3.3,-3.0,-6.01,-6007.75,1,Stop Loss
Wema Bank,2023-09-12,2023-09-13,4.7,5.17,4.559,5.17,10.0,6.77,6774.5,1,Profit Target
Guaranty Trust Holding,2023-09-13,2023-10-13,35.0,34.7,33.95,38.5,-0.86,-3.9,-3900.79,30,Time Stop
Dangote Sugar,2023-09-13,2023-09-14,52.0,57.2,50.44,57.2,10.0,6.77,6774.5,1,Profit Target
Daarcomm,2023-09-19,2023-09-20,0.23,0.2231,0.2231,0.253,-3.0,-6.01,-6007.75,1,Stop Loss
Abctrans,2023-09-19,2023-09-26,0.81,0.7857,0.7857,0.891,-3.0,-6.01,-6007.75,7,Stop Loss
Tantalizers,2023-09-20,2023-09-21,0.35,0.3395,0.3395,0.385,-3.0,-6.01,-6007.75,1,Stop Loss
Daarcomm,2023-09-20,2023-09-22,0.21,0.231,0.2037,0.231,10.0,6.77,6774.5,2,Profit Target
Daarcomm,2023-09-22,2023-09-26,0.23,0.253,0.2231,0.253,10.0,6.77,6774.5,4,Profit Target
Tantalizers,2023-09-25,2023-10-03,0.3,0.291,0.291,0.33,-3.0,-6.01,-6007.75,8,Stop Loss
Tantalizers,2023-09-26,2023-10-03,0.32,0.3104,0.3104,0.352,-3.0,-6.01,-6007.75,7,Stop Loss
McNichols,2023-10-03,2023-10-10,0.59,0.649,0.5723,0.649,10.0,6.77,6774.5,7,Profit Target
Wema Bank,2023-10-05,2023-10-06,4.23,4.653,4.1031,4.653,10.0,6.77,6774.5,1,Profit Target
Abctrans,2023-10-09,2023-10-10,0.65,0.715,0.6305,0.715,10.0,6.77,6774.5,1,Profit Target
Abctrans,2023-10-10,2023-10-13,0.68,0.748,0.6596,0.748,10.0,6.77,6774.5,3,Profit Target
McNichols,2023-10-24,2023-11-13,0.55,0.605,0.5335,0.605,10.0,6.77,6774.5,20,Profit Target
Initiates,2023-11-08,2023-11-09,1.03,0.9991,0.9991,1.133,-3.0,-6.01,-6007.75,1,Stop Loss
Initiates,2023-11-10,2023-11-17,0.97,0.9409,0.9409,1.067,-3.0,-6.01,-6007.75,7,Stop Loss
Initiates,2023-11-13,2023-11-17,1.02,0.9894,0.9894,1.122,-3.0,-6.01,-6007.75,4,Stop Loss
Coronation Insurance,2023-11-29,2023-12-29,0.65,0.68,0.6305,0.715,4.62,1.48,1480.08,30,Time Stop
Coronation Insurance,2023-11-30,2023-12-01,0.71,0.6887,0.6887,0.781,-3.0,-6.01,-6007.75,1,Stop Loss
Chams,2023-12-01,2023-12-08,1.97,1.9109,1.9109,2.167,-3.0,-6.01,-6007.75,7,Stop Loss
McNichols,2023-12-05,2023-12-22,0.67,0.6499,0.6499,0.737,-3.0,-6.01,-6007.75,17,Stop Loss
McNichols,2023-12-06,2023-12-07,0.72,0.6984,0.6984,0.792,-3.0,-6.01,-6007.75,1,Stop Loss
McNichols,2023-12-07,2023-12-21,0.68,0.6596,0.6596,0.748,-3.0,-6.01,-6007.75,14,Stop Loss
Initiates,2023-12-22,2024-01-02,1.06,1.166,1.0282,1.166,10.0,6.77,6774.5,11,Profit Target
Abctrans,2023-12-27,2024-01-02,0.76,0.836,0.7372,0.836,10.0,6.77,6774.5,6,Profit Target
Ikeja,2024-01-22,2024-01-25,7.7,7.469,7.469,8.47,-3.0,-6.01,-6007.75,3,Stop Loss
Linkassure,2024-01-24,2024-01-25,0.99,0.9603,0.9603,1.089,-3.0,-6.01,-6007.75,1,Stop Loss
International Breweries,2024-01-26,2024-01-31,5.52,5.3544,5.3544,6.072,-3.0,-6.01,-6007.75,5,Stop Loss
McNichols,2024-01-26,2024-01-29,1.33,1.463,1.2901,1.463,10.0,6.77,6774.5,3,Profit Target
Zenith Bank,2024-02-01,2024-02-02,34.98,38.478,33.9306,38.478,10.0,6.77,6774.5,1,Profit Target
Guaranty Trust Holding,2024-02-01,2024-02-02,37.0,40.7,35.89,40.7,10.0,6.77,6774.5,1,Profit Target
Linkassure,2024-02-20,2024-02-23,0.68,0.6596,0.6596,0.748,-3.0,-6.01,-6007.75,3,Stop Loss
Tantalizers,2024-02-20,2024-03-06,0.38,0.3686,0.3686,0.418,-3.0,-6.01,-6007.75,15,Stop Loss
Wema Bank,2024-02-26,2024-02-27,8.3,8.051,8.051,9.13,-3.0,-6.01,-6007.75,1,Stop Loss
Linkassure,2024-02-26,2024-02-27,0.64,0.6208,0.6208,0.704,-3.0,-6.01,-6007.75,1,Stop Loss
Coronation Insurance,2024-02-26,2024-03-25,0.67,0.66,0.6499,0.737,-1.49,-4.53,-4525.54,28,Time Stop
Wema Bank,2024-02-27,2024-02-28,8.1,7.857,7.857,8.91,-3.0,-6.01,-6007.75,1,Stop Loss
Dangote Sugar,2024-02-27,2024-02-28,60.0,58.2,58.2,66.0,-3.0,-6.01,-6007.75,1,Stop Loss
Wema Bank,2024-02-28,2024-02-29,7.8,7.566,7.566,8.58,-3.0,-6.01,-6007.75,1,Stop Loss
Nigerian Exchange,2024-02-29,2024-03-12,14.63,16.093,14.1911,16.093,10.0,6.77,6774.5,12,Profit Target
Initiates,2024-02-29,2024-03-04,1.8,1.98,1.746,1.98,10.0,6.77,6774.5,4,Profit Target
Lafarge Africa,2024-03-01,2024-03-13,31.95,35.145,30.9915,35.145,10.0,6.77,6774.5,12,Profit Target
Dangote Sugar,2024-03-01,2024-03-04,57.5,55.775,55.775,63.25,-3.0,-6.01,-6007.75,3,Stop Loss
Linkassure,2024-03-01,2024-03-04,0.55,0.605,0.5335,0.605,10.0,6.77,6774.5,3,Profit Target
Initiates,2024-03-01,2024-03-04,1.8,1.98,1.746,1.98,10.0,6.77,6774.5,3,Profit Target
Dangote Sugar,2024-03-05,2024-03-06,53.1,51.507,51.507,58.41,-3.0,-6.01,-6007.75,1,Stop Loss
MTN Nigeria,2024-03-05,2024-03-08,185.0,203.5,179.45,203.5,10.0,6.77,6774.5,3,Profit Target
MTN Nigeria,2024-03-06,2024-03-07,183.0,201.3,177.51,201.3,10.0,6.77,6774.5,1,Profit Target
Dangote Sugar,2024-03-06,2024-03-08,50.1,55.11,48.597,55.11,10.0,6.77,6774.5,2,Profit Target
Ikeja,2024-03-08,2024-03-12,6.08,6.688,5.8976,6.688,10.0,6.77,6774.5,4,Profit Target
